Date,Category,Amount,Payment_Method,Description
2026-02-04,Housing,432.39,Bank Transfer,Simulated expense
2026-02-04,Transportation,333.11,Credit Card,Simulated expense
2026-02-04,Shopping,52.61,Cash,Simulated expense
2026-02-05,Food & Dining,408.83,Cash,Simulated expense
2026-02-06,Utilities,193.1,UPI,Simulated expense
2026-02-06,Housing,123.15,Credit Card,Simulated expense
2026-02-07,Housing,46.33,Bank Transfer,Simulated expense
2026-02-07,Food & Dining,382.45,Credit Card,Simulated expense
2026-02-07,Food & Dining,366.33,UPI,Simulated expense
2026-02-07,Housing,316.83,Cash,Simulated expense
2026-02-08,Transportation,17.6,Debit Card,Simulated expense
2026-02-10,Healthcare,201.74,Bank Transfer,Simulated expense
2026-02-11,Food & Dining,206.17,Credit Card,Simulated expense
2026-02-12,Utilities,344.11,Cash,Simulated expense
2026-02-12,Housing,229.77,UPI,Simulated expense
2026-02-13,Shopping,55.24,Debit Card,Simulated expense
2026-02-13,Food & Dining,18.13,Bank Transfer,Simulated expense
2026-02-13,Shopping,155.79,Debit Card,Simulated expense
2026-02-14,Education,109.73,Bank Transfer,Simulated expense
2026-02-14,Transportation,375.31,Cash,Simulated expense
2026-02-14,Shopping,74.02,UPI,Simulated expense
2026-02-16,Shopping,331.66,Bank Transfer,Simulated expense
2026-02-16,Housing,23.83,Bank Transfer,Simulated expense
2026-02-17,Food & Dining,125.26,Bank Transfer,Simulated expense
2026-02-17,Food & Dining,349.03,Debit Card,Simulated expense
2026-02-17,Healthcare,278.9,Cash,Simulated expense
2026-02-20,Food & Dining,399.68,Debit Card,Simulated expense
2026-02-20,Food & Dining,394.21,Debit Card,Simulated expense
2026-02-22,Food & Dining,287.06,Cash,Simulated expense
2026-02-25,Education,15.57,Credit Card,Simulated expense
2026-02-26,Shopping,225.48,Debit Card,Simulated expense
2026-02-26,Food & Dining,486.09,Bank Transfer,Simulated expense
2026-02-26,Food & Dining,342.83,Credit Card,Simulated expense
2026-02-26,Housing,433.61,UPI,Simulated expense
2026-02-26,Housing,107.5,Debit Card,Simulated expense
2026-02-26,Food & Dining,7.95,Debit Card,Simulated expense
2026-02-27,Shopping,278.96,UPI,Simulated expense
2026-02-27,Housing,429.4,Cash,Simulated expense
2026-02-27,Entertainment,210.44,Bank Transfer,Simulated expense
2026-02-28,Housing,307.36,Cash,Simulated expense
2026-02-28,Education,335.17,Credit Card,Simulated expense
2026-02-28,Utilities,340.21,UPI,Simulated expense
2026-03-01,Housing,193.89,Cash,Simulated expense
2026-03-01,Transportation,417.21,UPI,Simulated expense
2026-03-02,Entertainment,12.98,UPI,Simulated expense
2026-03-03,Transportation,180.6,Credit Card,Simulated expense
2026-03-04,Food & Dining,422.71,Credit Card,Simulated expense
2026-03-04,Food & Dining,32.61,Bank Transfer,Simulated expense
2026-03-04,Utilities,259.66,Debit Card,Simulated expense
2026-03-05,Food & Dining,111.89,Debit Card,Simulated expense
2026-03-05,Utilities,107.73,Debit Card,Simulated expense
2026-03-05,Food & Dining,165.03,Cash,Simulated expense
2026-03-05,Housing,116.34,Cash,Simulated expense
2026-03-05,Transportation,378.72,UPI,Simulated expense
2026-03-06,Food & Dining,475.66,Credit Card,Simulated expense
2026-03-06,Shopping,124.12,Debit Card,Simulated expense
2026-03-06,Food & Dining,307.6,Bank Transfer,Simulated expense
2026-03-08,Shopping,369.9,Cash,Simulated expense
2026-03-08,Transportation,313.94,UPI,Simulated expense
2026-03-08,Healthcare,248.29,Debit Card,Simulated expense
2026-03-09,Housing,95.21,Bank Transfer,Simulated expense
2026-03-10,Housing,496.4,Bank Transfer,Simulated expense
2026-03-11,Transportation,350.83,Bank Transfer,Simulated expense
2026-03-13,Food & Dining,30.66,UPI,Simulated expense
2026-03-14,Food & Dining,42.18,Debit Card,Simulated expense
2026-03-14,Utilities,417.95,UPI,Simulated expense
2026-03-14,Housing,355.32,Bank Transfer,Simulated expense
2026-03-15,Miscellaneous,274.27,UPI,Simulated expense
2026-03-15,Transportation,346.88,Cash,Simulated expense
2026-03-16,Housing,312.55,Debit Card,Simulated expense
2026-03-16,Entertainment,339.03,UPI,Simulated expense
2026-03-17,Food & Dining,434.9,Debit Card,Simulated expense
2026-03-17,Utilities,451.91,Credit Card,Simulated expense
2026-03-17,Shopping,385.94,Bank Transfer,Simulated expense
2026-03-18,Housing,168.92,Debit Card,Simulated expense
2026-03-18,Entertainment,245.07,UPI,Simulated expense
2026-03-18,Shopping,376.15,Credit Card,Simulated expense
2026-03-19,Shopping,38.91,Cash,Simulated expense
2026-03-19,Shopping,269.19,Debit Card,Simulated expense
2026-03-21,Utilities,269.0,Debit Card,Simulated expense
2026-03-22,Transportation,433.29,Bank Transfer,Simulated expense
2026-03-22,Food & Dining,145.71,UPI,Simulated expense
2026-03-24,Transportation,124.71,Credit Card,Simulated expense
2026-03-24,Food & Dining,117.99,Bank Transfer,Simulated expense
2026-03-24,Food & Dining,447.88,Bank Transfer,Simulated expense
2026-03-25,Food & Dining,92.6,UPI,Simulated expense
2026-03-25,Utilities,174.86,Credit Card,Simulated expense
2026-03-26,Utilities,54.58,UPI,Simulated expense
2026-03-26,Food & Dining,74.26,Credit Card,Simulated expense
2026-03-26,Housing,71.25,UPI,Simulated expense
2026-03-27,Entertainment,262.81,UPI,Simulated expense
2026-03-27,Housing,260.88,Cash,Simulated expense
2026-03-29,Housing,146.84,Cash,Simulated expense
2026-03-29,Housing,352.04,Debit Card,Simulated expense
2026-03-30,Food & Dining,385.81,Credit Card,Simulated expense
2026-03-30,Food & Dining,78.55,Cash,Simulated expense
2026-03-30,Entertainment,151.01,Cash,Simulated expense
2026-03-31,Shopping,80.8,Debit Card,Simulated expense
2026-03-31,Shopping,472.19,Cash,Simulated expense
2026-04-01,Entertainment,209.82,Bank Transfer,Simulated expense
2026-04-01,Housing,346.12,Credit Card,Simulated expense
2026-04-01,Healthcare,287.69,UPI,Simulated expense
2026-04-02,Food & Dining,259.16,Debit Card,Simulated expense
2026-04-02,Shopping,41.23,Bank Transfer,Simulated expense
2026-04-03,Entertainment,10.9,Credit Card,Simulated expense
2026-04-03,Education,177.11,Cash,Simulated expense
2026-04-05,Healthcare,241.81,Bank Transfer,Simulated expense
2026-04-05,Food & Dining,237.82,UPI,Simulated expense
2026-04-06,Food & Dining,323.17,Cash,Simulated expense
2026-04-06,Miscellaneous,484.06,Credit Card,Simulated expense
2026-04-08,Housing,269.15,UPI,Simulated expense
2026-04-08,Housing,97.93,Bank Transfer,Simulated expense
2026-04-09,Food & Dining,78.86,Bank Transfer,Simulated expense
2026-04-09,Shopping,432.32,Credit Card,Simulated expense
2026-04-10,Healthcare,215.19,Debit Card,Simulated expense
2026-04-11,Shopping,126.53,UPI,Simulated expense
2026-04-11,Food & Dining,133.08,Credit Card,Simulated expense
2026-04-12,Entertainment,369.15,Credit Card,Simulated expense
2026-04-12,Housing,197.94,Cash,Simulated expense
2026-04-13,Entertainment,127.52,Cash,Simulated expense
2026-04-13,Transportation,79.08,Debit Card,Simulated expense
2026-04-14,Housing,224.42,UPI,Simulated expense
2026-04-14,Food & Dining,270.19,Debit Card,Simulated expense
2026-04-14,Food & Dining,411.94,UPI,Simulated expense
2026-04-15,Healthcare,376.5,UPI,Simulated expense
2026-04-16,Shopping,420.57,UPI,Simulated expense
2026-04-16,Shopping,94.71,Bank Transfer,Simulated expense
2026-04-17,Food & Dining,13.07,Cash,Simulated expense
2026-04-17,Food & Dining,261.35,Cash,Simulated expense
2026-04-17,Housing,100.99,Cash,Simulated expense
2026-04-18,Food & Dining,246.33,Credit Card,Simulated expense
2026-04-19,Transportation,50.34,Credit Card,Simulated expense
2026-04-21,Food & Dining,440.84,Debit Card,Simulated expense
2026-04-21,Utilities,343.9,Debit Card,Simulated expense
2026-04-22,Entertainment,363.79,Cash,Simulated expense
2026-04-22,Food & Dining,12.0,UPI,Simulated expense
2026-04-22,Entertainment,256.57,Cash,Simulated expense
2026-04-23,Shopping,57.57,Credit Card,Simulated expense
2026-04-23,Utilities,160.55,Debit Card,Simulated expense
2026-04-26,Food & Dining,283.5,Cash,Simulated expense
2026-04-26,Transportation,391.25,UPI,Simulated expense
2026-04-26,Housing,43.39,Cash,Simulated expense
2026-04-26,Transportation,283.55,Bank Transfer,Simulated expense
2026-04-27,Entertainment,448.58,UPI,Simulated expense
2026-04-27,Transportation,403.21,Bank Transfer,Simulated expense
2026-04-28,Education,351.72,Credit Card,Simulated expense
2026-04-28,Food & Dining,200.24,Debit Card,Simulated expense
2026-04-28,Housing,219.98,Debit Card,Simulated expense
2026-04-29,Shopping,435.6,Cash,Simulated expense
2026-04-29,Utilities,321.09,Debit Card,Simulated expense
2026-04-29,Housing,44.33,Cash,Simulated expense
2026-04-29,Housing,49.84,Bank Transfer,Simulated expense
2026-04-30,Utilities,141.65,Bank Transfer,Simulated expense
2026-04-30,Healthcare,62.6,Cash,Simulated expense
2026-04-30,Food & Dining,344.96,Credit Card,Simulated expense
2026-05-01,Transportation,275.93,Credit Card,Simulated expense
2026-05-01,Shopping,382.78,UPI,Simulated expense
2026-05-01,Housing,208.26,Credit Card,Simulated expense
2026-05-02,Entertainment,412.4,Cash,Simulated expense
2026-05-02,Housing,123.66,Bank Transfer,Simulated expense
2026-05-05,Housing,465.31,Cash,Simulated expense
2026-05-08,Shopping,231.6,UPI,Simulated expense
2026-05-08,Entertainment,403.53,Cash,Simulated expense
2026-05-09,Miscellaneous,254.85,Bank Transfer,Simulated expense
